word,occurences
hallmarkhalloffame,2
soft,2
frankgehry,7
thebenjamins,1
astreetcarnameddesire,26
theexorcist,19
melbourne,15
blagojevich,2
hypertension,4
ahandstand,1
ourtown,16
diehard,13
manila,19
georgeryan,1
novocaine,3
aninchworm,3
beverlyhillscop,4
milan,27
manager,2
henryheimlich,2
abootstrap,1
mumbai,4
charlierangel,1
atrialfibrillation,1
anthracite,7
majorbarbara,7
thehudsuckerproxy,4
medellin,3
hueylong,18
neonatal,2
themainspring,1
norwayandsweden,2
hemingway,21
openclose,1
california,180
atms,1
waltdisney,15
bucharest,14
willacather,29
thetourdefrance,6
alaska,161
ddt,5
nedflanders,6
crest,9
harrietbeecherstowe,26
fromsouptonuts,2
npr,4
melblanc,6
atrestle,1
lfrankbaum,25
thenativitythecrucifixion,1
minnesota,76
thecia,11
antoniobanderas,8
presto,4
stephenvincentbenet,8
takeofflandingorlauncharrival,1
tnt,8
mikejudge,4
orestes,2
ordinarypeople,6
theworldcup,9
dramamine,4
aleialee,1
thebostonmassacre,13
grandhotel,7
acapulco,9
alcohol,12
acarriage,2
strepstrip,1
cottonmather,6
rocky,22
guadalajara,5
prostatecancer,2
london,133
mildmeld,1
thehuguenots,9
onthewaterfront,14
nightoftheiguana,5
cholesterol,17
thebus,1
triedtreed,1
williambradford,7
amanforallseasons,13
cancun,1
miltown,1
mules,6
tofilltofell,1
themousetrap,7
tommy,10
littlebighorn,10
elephants,25
dj,3
prizes,1
charliechaplin,24
oregontrail,12
thebigtop,3
howardstern,13
davidduchovny,12
thingswithholes,2
richardnixon,107
cottoncandy,4
k,12
jonbonjovi,4
thingsthatmakeyoucry,1
gfhandel,8
devilstower,10
trapeze,1
caseykasem,6
johnfkennedyjr,7
pins,1
australia,215
staugustine,22
calliope,5
alternative,2
toriamos,4
bowls,1
nevermore,6
eggs,40
hightops,2
agreenlight,3
oregonstateuniversity,1
butonlygodcanmakeatree,3
collage,5
johnhancock,24
thehighfive,1
scratch,6
theuniversityofflorida,6
evangeline,13
photographs,3
commonsense,9
highseascs,1
anicebreaker,2
theuniversityoftexas,1
1930s,3
peterpaulrubens,22
brooklyn,24
highdefinition,2
thekickoff,1
geoffreychaucerthecanterburytales,1
claudemonet,29
thecharlesriver,4
highmass,1
thegroundfloororthegroundlevel,1
jeopardy,8
tomclancy,22
pennsylvania,89
blackhawk,9
china,216
illbethere,2
spam,17
johngrisham,32
poorrichardsalmanack,10
bettywhite,10
poland,95
thewallflowers,1
nachos,5
robertludlum,12
theblackbox,2
pizarro,5
layla,2
crêpes,2
clivecussler,3
electricity,15
blackhole,11
sudan,18
shakira,5
satay,6
stevemartini,1
postmastergeneral,8
thewhitecliffsofdover,5
